#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
125,Bitcoin SVBSVBuy,$22.07,0.44%,4.27%,20.41%,"$440,016,324","$48,521,6512.19M",19.93M BSV
126,JitoJTOBuy,$1.10,0.89%,3.12%,32.64%,"$430,159,588","$49,322,97744.53M",388.7M JTO
127,APENFTNFTBuy,$0.064183,0.01%,0.74%,3.17%,"$418,371,775","$17,589,02742.04T",999.99T NFT
128,DeepBook ProtocolDEEPBuy,$0.09755,0.66%,8.73%,30.18%,"$412,719,735","$28,670,815294.00M",4.23B DEEP
129,ZORAZORABuy,$0.09157,1.37%,4.89%,51.98%,"$409,328,171","$131,882,8451.44B",4.46B ZORA
130,FartcoinFARTCOINBuy,$0.3999,0.74%,3.12%,45.58%,"$399,945,736","$240,827,655601.19M",999.99M FARTCOIN
131,HeliumHNTBuy,$2.12,0.15%,6.26%,17.14%,"$396,638,366","$13,203,8936.20M",186.32M HNT
132,WormholeWBuy,$0.07923,0.95%,4.73%,42.26%,"$377,239,332","$116,648,9101.47B",4.76B W
133,FourFORMBuy,$0.9714,0.90%,0.09%,17.34%,"$370,957,032","$223,755,677230.25M",381.86M FORM
134,NeoNEOBuy,$5.24,0.85%,2.79%,16.14%,"$370,025,810","$52,490,1799.98M",70.53M NEO
135,Useless CoinUSELESSBuy,$0.3688,6.03%,4.74%,30.34%,"$368,500,349","$232,548,800630.50M",999.09M USELESS
136,Zebec NetworkZBCNBuy,$0.003921,0.89%,3.65%,14.70%,"$362,125,002","$20,061,9655.11B",92.33B ZBCN
137,GnosisGNOBuy,$132.38,0.29%,2.28%,15.99%,"$349,384,260","$8,229,01762.13K",2.63M GNO
138,ChilizCHZBuy,$0.03458,0.28%,3.03%,21.94%,"$347,322,313","$119,487,0823.45B",10.04B CHZ
139,Reserve RightsRSRBuy,$0.005713,1.85%,5.97%,9.57%,"$345,396,449","$75,877,58813.25B",60.45B RSR
140,Falcon FinanceFFBuy,$0.1458,0.74%,16.35%,20.91%,"$341,175,470","$430,897,5202.95B",2.34B FF
